id,driver_name,score,employee_id,created_at,updated_at
1,Role Clarity,2,1,2019-03-11 09:31:26.707339,2019-03-11 09:31:26.707339
2,Career Growth,4,1,2019-03-11 09:31:26.711962,2019-03-11 09:31:26.711962
3,Company Policies,1,1,2019-03-11 09:31:26.715853,2019-03-11 09:31:26.715853
4,Manager Support,2,1,2019-03-11 09:31:26.722466,2019-03-11 09:31:26.722466
5,Role Clarity,2,2,2019-03-11 09:31:26.731424,2019-03-11 09:31:26.731424
6,Career Growth,2,2,2019-03-11 09:31:26.735687,2019-03-11 09:31:26.735687
7,Company Policies,2,2,2019-03-11 09:31:26.741600,2019-03-11 09:31:26.741600
8,Manager Support,2,2,2019-03-11 09:31:26.746178,2019-03-11 09:31:26.746178
9,Role Clarity,3,3,2019-03-11 09:31:26.755149,2019-03-11 09:31:26.755149
10,Career Growth,1,3,2019-03-11 09:31:26.759311,2019-03-11 09:31:26.759311
11,Company Policies,5,3,2019-03-11 09:31:26.763665,2019-03-11 09:31:26.763665
12,Manager Support,2,3,2019-03-11 09:31:26.768496,2019-03-11 09:31:26.768496
13,Role Clarity,1,4,2019-03-11 09:31:26.777583,2019-03-11 09:31:26.777583
14,Career Growth,3,4,2019-03-11 09:31:26.781852,2019-03-11 09:31:26.781852
15,Company Policies,4,4,2019-03-11 09:31:26.786311,2019-03-11 09:31:26.786311
16,Manager Support,2,4,2019-03-11 09:31:26.792366,2019-03-11 09:31:26.792366
17,Role Clarity,4,5,2019-03-11 09:31:26.804584,2019-03-11 09:31:26.804584
18,Career Growth,1,5,2019-03-11 09:31:26.809754,2019-03-11 09:31:26.809754
19,Company Policies,4,5,2019-03-11 09:31:26.814594,2019-03-11 09:31:26.814594
20,Manager Support,5,5,2019-03-11 09:31:26.819269,2019-03-11 09:31:26.819269
21,Role Clarity,1,6,2019-03-11 09:31:26.829157,2019-03-11 09:31:26.829157
22,Career Growth,3,6,2019-03-11 09:31:26.833415,2019-03-11 09:31:26.833415
23,Company Policies,5,6,2019-03-11 09:31:26.837767,2019-03-11 09:31:26.837767
24,Manager Support,2,6,2019-03-11 09:31:26.843521,2019-03-11 09:31:26.843521
25,Role Clarity,1,7,2019-03-11 09:31:26.851761,2019-03-11 09:31:26.851761
26,Career Growth,4,7,2019-03-11 09:31:26.855535,2019-03-11 09:31:26.855535
27,Company Policies,5,7,2019-03-11 09:31:26.860586,2019-03-11 09:31:26.860586
28,Manager Support,4,7,2019-03-11 09:31:26.864959,2019-03-11 09:31:26.864959
29,Role Clarity,1,8,2019-03-11 09:31:26.874399,2019-03-11 09:31:26.874399
30,Career Growth,3,8,2019-03-11 09:31:26.878542,2019-03-11 09:31:26.878542
31,Company Policies,4,8,2019-03-11 09:31:26.882491,2019-03-11 09:31:26.882491
32,Manager Support,3,8,2019-03-11 09:31:26.886756,2019-03-11 09:31:26.886756
33,Role Clarity,4,9,2019-03-11 09:31:26.899961,2019-03-11 09:31:26.899961
34,Career Growth,3,9,2019-03-11 09:31:26.904340,2019-03-11 09:31:26.904340
35,Company Policies,3,9,2019-03-11 09:31:26.909237,2019-03-11 09:31:26.909237
36,Manager Support,2,9,2019-03-11 09:31:26.913409,2019-03-11 09:31:26.913409
37,Role Clarity,5,10,2019-03-11 09:31:26.926113,2019-03-11 09:31:26.926113
38,Career Growth,1,10,2019-03-11 09:31:26.930643,2019-03-11 09:31:26.930643
39,Company Policies,3,10,2019-03-11 09:31:26.934791,2019-03-11 09:31:26.934791
40,Manager Support,1,10,2019-03-11 09:31:26.939221,2019-03-11 09:31:26.939221
41,Role Clarity,4,11,2019-03-11 09:31:26.949935,2019-03-11 09:31:26.949935
42,Career Growth,5,11,2019-03-11 09:31:26.954916,2019-03-11 09:31:26.954916
43,Company Policies,5,11,2019-03-11 09:31:26.960360,2019-03-11 09:31:26.960360
44,Manager Support,4,11,2019-03-11 09:31:26.964380,2019-03-11 09:31:26.964380
45,Role Clarity,2,12,2019-03-11 09:31:26.973979,2019-03-11 09:31:26.973979
46,Career Growth,2,12,2019-03-11 09:31:26.978565,2019-03-11 09:31:26.978565
47,Company Policies,5,12,2019-03-11 09:31:26.983256,2019-03-11 09:31:26.983256
48,Manager Support,1,12,2019-03-11 09:31:26.987627,2019-03-11 09:31:26.987627
49,Role Clarity,1,13,2019-03-11 09:31:27.001220,2019-03-11 09:31:27.001220
50,Career Growth,1,13,2019-03-11 09:31:27.006320,2019-03-11 09:31:27.006320
51,Company Policies,1,13,2019-03-11 09:31:27.011517,2019-03-11 09:31:27.011517
52,Manager Support,4,13,2019-03-11 09:31:27.015861,2019-03-11 09:31:27.015861
53,Role Clarity,3,14,2019-03-11 09:31:27.027472,2019-03-11 09:31:27.027472
54,Career Growth,1,14,2019-03-11 09:31:27.031782,2019-03-11 09:31:27.031782
55,Company Policies,3,14,2019-03-11 09:31:27.037386,2019-03-11 09:31:27.037386
56,Manager Support,3,14,2019-03-11 09:31:27.043495,2019-03-11 09:31:27.043495
57,Role Clarity,4,15,2019-03-11 09:31:27.056857,2019-03-11 09:31:27.056857
58,Career Growth,4,15,2019-03-11 09:31:27.064427,2019-03-11 09:31:27.064427
59,Company Policies,2,15,2019-03-11 09:31:27.069571,2019-03-11 09:31:27.069571
60,Manager Support,2,15,2019-03-11 09:31:27.074250,2019-03-11 09:31:27.074250
61,Role Clarity,3,16,2019-03-11 09:31:27.082349,2019-03-11 09:31:27.082349
62,Career Growth,3,16,2019-03-11 09:31:27.085931,2019-03-11 09:31:27.085931
63,Company Policies,3,16,2019-03-11 09:31:27.091484,2019-03-11 09:31:27.091484
64,Manager Support,4,16,2019-03-11 09:31:27.098803,2019-03-11 09:31:27.098803
65,Role Clarity,5,17,2019-03-11 09:31:27.108019,2019-03-11 09:31:27.108019
66,Career Growth,2,17,2019-03-11 09:31:27.112971,2019-03-11 09:31:27.112971
67,Company Policies,2,17,2019-03-11 09:31:27.118266,2019-03-11 09:31:27.118266
68,Manager Support,3,17,2019-03-11 09:31:27.124720,2019-03-11 09:31:27.124720
